"","PCs","Accuracy","Sensitivity","Specificity","MRD_best_cut","P_value","adj_P_value_BH","adj_P_value_bonferroni"
"23","2, 3, 5, 9, 10",20,11,9,0.00943136774551168,0.000221141088014154,0.00136281525926795,0.226227333038479
"24","1, 4, 5, 9, 10",20,11,9,0.00897330335682622,0.000221141088014154,0.00136281525926795,0.226227333038479
"25","2, 4, 5, 9, 10",20,11,9,0.00717719948669213,0.000221141088014154,0.00136281525926795,0.226227333038479
"26","3, 4, 5, 9, 10",20,11,9,0.00672604468971337,0.000221141088014154,0.00136281525926795,0.226227333038479
"27","1, 3, 4, 5, 6, 9, 10",20,11,9,0.0026059234653858,0.000221141088014154,0.00136281525926795,0.226227333038479
"28","1, 2, 3, 4, 5, 6, 9, 10",20,11,9,0.00249291567525056,0.000221141088014154,0.00136281525926795,0.226227333038479
"29","2, 5, 10",20,11,9,0.00215539846006382,0.000221141088014154,0.00136281525926795,0.226227333038479
"30","2, 3, 4, 5, 6, 9, 10",20,11,9,0.00180469406195863,0.000221141088014154,0.00136281525926795,0.226227333038479
"31","1, 2, 4, 5, 9",20,11,9,0.00167796138841581,0.000221141088014154,0.00136281525926795,0.226227333038479
"32","1, 2, 3, 4, 5, 9",20,11,9,0.00163507973746642,0.000221141088014154,0.00136281525926795,0.226227333038479
"33","1, 3, 5, 10",20,11,9,0.00162451558323958,0.000221141088014154,0.00136281525926795,0.226227333038479
"34","3, 5, 10",20,11,9,0.00135318478165767,0.000221141088014154,0.00136281525926795,0.226227333038479
"35","1, 4, 5, 9",20,11,9,0.00131797325269813,0.000221141088014154,0.00136281525926795,0.226227333038479
"36","2, 4, 5, 9",20,11,9,0.00130949684926775,0.000221141088014154,0.00136281525926795,0.226227333038479
"37","1, 3, 4, 5, 9",20,11,9,0.00127556037604707,0.000221141088014154,0.00136281525926795,0.226227333038479
"38","2, 3, 4, 5, 9",20,11,9,0.00126711403273154,0.000221141088014154,0.00136281525926795,0.226227333038479
"39","1, 2, 3, 5, 6, 9, 10",20,11,9,0.000918516394726961,0.000221141088014154,0.00136281525926795,0.226227333038479
"40","3, 4, 5, 9",20,11,9,0.000897122917845463,0.000221141088014154,0.00136281525926795,0.226227333038479
"41","1, 3, 5, 6, 9, 10",20,11,9,0.000770000305125272,0.000221141088014154,0.00136281525926795,0.226227333038479
"42","1, 5, 10",20,11,9,0.000652462095192693,0.000221141088014154,0.00136281525926795,0.226227333038479
"43","1, 2, 5, 9, 10",20,11,9,0.00064617235951097,0.000221141088014154,0.00136281525926795,0.226227333038479
"44","1, 2, 5, 10",20,11,9,0.000409565473162368,0.000221141088014154,0.00136281525926795,0.226227333038479
"45","1, 2, 3, 10",20,10,10,0.00246346018640739,0.000345887342791368,0.0018922072282116,0.353842751675569
"46","3, 4, 5, 7, 8, 10",20,10,10,0.00185953506090034,0.000345887342791368,0.0018922072282116,0.353842751675569
"47","2, 3, 4, 5, 7, 8, 10",20,10,10,0.00163307735425013,0.000345887342791368,0.0018922072282116,0.353842751675569
"48","1, 3, 10",20,10,10,0.00161427970344922,0.000345887342791368,0.0018922072282116,0.353842751675569
"49","1, 2, 4, 10",20,10,10,0.0015412258409725,0.000345887342791368,0.0018922072282116,0.353842751675569
"50","1, 2, 3, 5, 10",20,10,10,0.00141802393480003,0.000345887342791368,0.0018922072282116,0.353842751675569
"51","1, 2, 10",20,10,10,0.0010659778455568,0.000345887342791368,0.0018922072282116,0.353842751675569
"52","1, 3, 4, 5, 7, 8, 10",20,10,10,0.000876054279903518,0.000345887342791368,0.0018922072282116,0.353842751675569
"53","3, 4, 5, 8, 10",20,10,10,0.000838077058216612,0.000345887342791368,0.0018922072282116,0.353842751675569
"54","2, 3, 4, 9, 10",20,10,10,0.000751855937649034,0.000345887342791368,0.0018922072282116,0.353842751675569
"55","4, 9, 10",20,10,10,0.000692055820500592,0.000345887342791368,0.0018922072282116,0.353842751675569
"56","1, 3, 4, 5, 8, 10",20,10,10,0.000652270786171697,0.000345887342791368,0.0018922072282116,0.353842751675569
"57","1, 2, 3, 4, 5, 7, 8, 10",20,10,10,0.000620071249856576,0.000345887342791368,0.0018922072282116,0.353842751675569
"58","4, 5, 9, 10",20,10,10,0.000571103992785382,0.000345887342791368,0.0018922072282116,0.353842751675569
"59","2, 4, 9, 10",20,10,10,0.000519387122194768,0.000345887342791368,0.0018922072282116,0.353842751675569
"60","2, 4, 5, 7, 8, 10",20,10,10,0.000510642223991626,0.000345887342791368,0.0018922072282116,0.353842751675569
"61","2, 3, 4, 5, 8, 10",20,10,10,0.000482253697085287,0.000345887342791368,0.0018922072282116,0.353842751675569
"62","1, 2, 3, 4, 5, 8, 10",20,10,10,0.000307885684126187,0.000345887342791368,0.0018922072282116,0.353842751675569
"63","3, 4, 9, 10",20,10,10,0.000259784398394379,0.000345887342791368,0.0018922072282116,0.353842751675569
"64","3, 4, 6, 7, 8, 10",20,10,10,0.000132864531701114,0.000345887342791368,0.0018922072282116,0.353842751675569
"65","1, 4, 9, 10",20,10,10,0,0.000345887342791368,0.0018922072282116,0.353842751675569
"66","1, 4, 6, 8, 10",20,9,11,0.00562578872598674,0.000221141088014154,0.00136281525926795,0.226227333038479
"67","3, 4, 6, 8, 10",20,9,11,0.00537140714620235,0.000221141088014154,0.00136281525926795,0.226227333038479
"68","1, 3, 4, 6, 8, 10",20,9,11,0.00506509936732568,0.000221141088014154,0.00136281525926795,0.226227333038479
"69","1, 3, 4, 5, 6, 8, 10",20,9,11,0.00499121401975728,0.000221141088014154,0.00136281525926795,0.226227333038479
"70","3, 4, 5, 6, 8, 10",20,9,11,0.00492999691256157,0.000221141088014154,0.00136281525926795,0.226227333038479
"71","2, 3, 5, 8, 10",20,9,11,0.00488404417416867,0.000221141088014154,0.00136281525926795,0.226227333038479
"72","1, 4, 5, 6, 8, 10",20,9,11,0.00447898727279095,0.000221141088014154,0.00136281525926795,0.226227333038479
"73","1, 3, 6, 8, 10",20,9,11,0.00429551171464194,0.000221141088014154,0.00136281525926795,0.226227333038479
"74","1, 2, 3, 5, 8, 10",20,9,11,0.00427133413158373,0.000221141088014154,0.00136281525926795,0.226227333038479
"75","1, 2, 5, 8, 10",20,9,11,0.00410619465802015,0.000221141088014154,0.00136281525926795,0.226227333038479
"76","1, 3, 5, 8, 10",20,9,11,0.00399055234661132,0.000221141088014154,0.00136281525926795,0.226227333038479
"77","4, 6, 8, 10",20,9,11,0.00397824061560551,0.000221141088014154,0.00136281525926795,0.226227333038479
"78","1, 3, 5, 6, 8, 10",20,9,11,0.00395976531140425,0.000221141088014154,0.00136281525926795,0.226227333038479
"79","2, 3, 4, 6, 8, 10",20,9,11,0.00378356936699735,0.000221141088014154,0.00136281525926795,0.226227333038479
"80","1, 2, 4, 6, 8, 10",20,9,11,0.00377733014538729,0.000221141088014154,0.00136281525926795,0.226227333038479
"81","1, 5, 8, 10",20,9,11,0.0037000501645935,0.000221141088014154,0.00136281525926795,0.226227333038479
"82","2, 3, 5, 8, 9, 10",20,9,11,0.00369704763369543,0.000221141088014154,0.00136281525926795,0.226227333038479
"83","2, 4, 6, 8, 10",20,9,11,0.00362560119083916,0.000221141088014154,0.00136281525926795,0.226227333038479
"84","1, 2, 3, 6, 8, 10",20,9,11,0.00346218146569413,0.000221141088014154,0.00136281525926795,0.226227333038479
"85","2, 5, 8, 10",20,9,11,0.00342910251618497,0.000221141088014154,0.00136281525926795,0.226227333038479
"86","1, 2, 3, 4, 5, 6, 8, 10",20,9,11,0.0033385496545905,0.000221141088014154,0.00136281525926795,0.226227333038479
"87","1, 2, 3, 4, 6, 8, 10",20,9,11,0.00332123121189146,0.000221141088014154,0.00136281525926795,0.226227333038479
"88","2, 3, 6, 8, 10",20,9,11,0.00321705882007737,0.000221141088014154,0.00136281525926795,0.226227333038479
"89","2, 3, 4, 5, 6, 8, 10",20,9,11,0.0031880941814689,0.000221141088014154,0.00136281525926795,0.226227333038479
"90","1, 2, 6, 8, 10",20,9,11,0.00282596682332959,0.000221141088014154,0.00136281525926795,0.226227333038479
"91","1, 2, 4, 5, 6, 8, 10",20,9,11,0.00278543611156785,0.000221141088014154,0.00136281525926795,0.226227333038479
"92","2, 3, 5, 7, 8, 10",20,9,11,0.00273294152015459,0.000221141088014154,0.00136281525926795,0.226227333038479
"93","4, 5, 6, 8, 10",20,9,11,0.00264576984295484,0.000221141088014154,0.00136281525926795,0.226227333038479
"94","2, 4, 5, 6, 8, 10",20,9,11,0.00261325026482345,0.000221141088014154,0.00136281525926795,0.226227333038479
"95","1, 5, 6, 8, 10",20,9,11,0.00252688337929792,0.000221141088014154,0.00136281525926795,0.226227333038479
"96","3, 5, 9, 10",20,9,11,0.00248819314696701,0.000221141088014154,0.00136281525926795,0.226227333038479
"97","2, 3, 5, 6, 8, 10",20,9,11,0.00238701400254014,0.000221141088014154,0.00136281525926795,0.226227333038479
"98","1, 2, 3, 5, 6, 8, 10",20,9,11,0.0023649840613835,0.000221141088014154,0.00136281525926795,0.226227333038479
"99","3, 4, 5, 6, 10",20,9,11,0.0022039520567474,0.000221141088014154,0.00136281525926795,0.226227333038479
